Primary_Accession,Uncertainty,Length,Disorder,CompositionalBias,Membrane
P33765,0,318,0,0,50
Q9NS82,19.5,523,8.03,0,36.14
P22760,13.53,399,0,0,4.51
Q9NRG9,12.82,546,11.9,0,0
Q15758,26.8,541,6.65,0,38.82
Q86V21,7.14,672,0.45,0,0
P01011,5.44,423,3.07,0,0
Q8N5Z0,0,425,9.88,0,0
Q7RTV5,32.74,226,0.44,0,0
Q6PD74,48.89,315,28.25,0,0
Q2M2I8,70.66,961,57.23,26.53,0
Q9Y478,0,270,28.89,0,0
O43741,32.35,272,28.68,0,0
P54619,0,331,6.04,0,0
Q9UGJ0,43.94,569,39.02,0,0
Q9UGI9,37.42,489,26.79,0,0
Q9H7C9,0,122,17.21,0,0
Q13685,20.05,434,22.58,1.61,0
Q13131,13.24,559,11.99,0,0
P54646,0,552,9.6,0,0
Q9Y312,17.97,384,1.04,0,0
Q4LEZ3,100,155,15.48,29.68,0
P86434,100,159,37.11,0,0
Q9BTE6,4.85,412,13.59,0,0
Q9UDR5,9.29,926,0.22,0,0
Q8NHS2,7.36,421,0,0,0
P17174,3.39,413,1.94,0,0
Q9NY61,100,560,49.64,17.86,0
P00505,6.74,430,1.63,0,0
Q7Z5M8,29.83,362,2.21,0,0
Q96GS6,12.26,310,2.9,0,0
Q5VST6,20.83,288,0,0,0
Q6PCB6,29.79,329,12.16,10.64,0
Q7Z5R6,53,666,51.65,24.32,0
P31941,0,199,1.51,0,0
Q9UH17,1.57,382,0,0,0
Q9NRW3,0,190,0,0,0
Q96AK3,5.44,386,0.26,0,0
Q8IUX4,0.8,373,0,0,0
Q9HC16,2.08,384,0,0,0
Q6NTF7,12.5,200,0,0,0
O95477,79.92,2261,4.78,0,13.75
Q9BZC7,81.27,2435,11.29,0,12.07
Q99758,73.24,1704,2,0,17.37
P78363,80.07,2273,7.26,0,11.09
Q8WWZ7,71.68,1642,1.46,0,19.18
Q8N139,71.74,1617,1.55,0,18.18
Q8IZY2,78.98,2146,10.21,0,14.68
O94911,73.5,1581,2.85,0,18.6
Q8IUA7,72.11,1624,2.16,0,18.23
Q8WWZ4,70.25,1543,2.79,0,20.41
Q4W5N1,41.67,156,33.33,0,0
Q86UK0,82.47,2595,1.73,0,11.33
Q86UQ4,90.98,5058,0.89,0,5.81
Q2M3G0,5.67,812,3.82,0,12.93
Q9NP58,29.22,842,2.38,0,25.18
O75027,24.6,752,5.59,0,16.76
Q9NUT2,21.77,735,4.08,0,13.74
Q9NP78,25.33,766,4.18,0.78,21.93
Q9NRK6,0,738,2.98,0,14.23
O95342,10.14,1321,3.56,0,19.08
Q09428,23.09,1581,5.31,0,22.83
O60706,23.11,1549,3.87,0,20.34
Q96J66,18.02,1382,3.4,0,15.2
Q9NSE7,100,274,0.36,0,15.33
P33897,25.5,745,3.89,0,14.09
Q9UBJ2,27.57,740,0.41,0,11.35
P28288,16.24,659,2.43,0,12.75
O14678,8.42,606,0.33,0,17.33
P61221,0,599,0,0,0
Q8NE71,42.6,845,41.89,12.19,0
Q9UG63,20.22,623,13.48,0,0
Q9NUQ8,28.91,709,8.18,0,0
P45844,61.8,678,0.59,0,17.7
Q9UNQ0,64.27,655,0.92,0,19.24
Q9H172,58.67,646,1.7,0,19.5
Q9H222,63.75,651,3.84,0,19.35
Q9H221,64.04,673,4.61,0,18.72
Q8N2K0,35.18,398,0.5,2.51,5.28
P41238,28.39,236,5.08,5.93,0
Q9Y235,17.86,224,12.5,0,0
Q8WW27,58.58,367,19.07,4.36,0
Q6UXT9,32.91,468,7.05,0,0
Q96SE0,19.75,405,2.96,0,5.19
P08910,21.41,425,0.24,0,4.94
Q8WU67,21.27,409,0,0,5.13
Q8TB40,9.36,342,3.22,0,0
Q8WTS1,12.89,349,2.87,0,0
Q9BV23,17.8,337,0.89,0,6.23
Q96I13,11.16,439,23.23,0,0
Q9NUJ1,16.67,306,0.33,0,0
Q8NFV4,13.65,315,14.29,0,0
Q7L211,30.27,337,0,0,6.23
Q9BUJ0,28.04,271,2.58,0,7.75
Q96IU4,0,210,2.38,0,0
O95870,54.48,558,5.56,0,7.53
Q9H3Z7,32.2,469,2.35,2.13,0
Q8IZP0,55.71,508,61.61,31.3,0
Q9NYB9,0,513,57.31,49.12,0
Q9P2A4,40.44,366,45.9,22.68,0
P00519,45.75,1130,45.31,21.95,0
P42684,49.92,1182,44.42,19.04,0
O14639,59.51,778,40.62,0,0
Q6H8Q1,43.04,611,36.99,0,0
O94929,51.39,683,25.77,0,0
Q9P1F3,0,81,0,0,0
Q8N0Z2,77.95,381,58.01,0,0
Q12979,24.68,859,11.64,0.47,0
Q9ULW3,58.82,272,44.85,1.84,0
Q969K4,6.49,478,2.09,0,0
Q8N961,32.29,1025,10.63,0,0
Q13085,34.14,2346,2.43,0,0
O00763,38.49,2458,8.34,0,0
Q9UKU7,5.54,415,0.72,0,0
Q9H845,7.57,621,1.13,0,0
P28330,13.02,430,7.21,0,0
P11310,0,421,0.95,0,0
P16219,7.04,412,1.7,0,0
P49748,10.38,655,9.01,0,0
Q15027,2.43,740,20.54,0,0
Q15057,14.52,778,23.01,0,0
Q96P50,14.39,834,14.51,0,0
O00400,25.5,549,6.74,0,41.89
Q8NC06,58.58,268,20.9,0,0
Q5T8D3,80.52,534,50.19,2.25,3.93
Q9BR61,14.54,282,10.99,0,0
Q8N6N7,0,88,0,0,0
Q96GR2,28.87,724,9.25,0,0
Q5FVE4,22.07,666,2.55,0,0
P07108,1.15,87,8.05,0,0
Q6JQN1,5.48,1059,2.46,0,0
Q709F0,3.21,780,1.15,0,0
P45954,11.81,432,0.93,0,0
Q96AP0,70.4,544,53.86,16.36,0
Q9BYF1,23.6,805,4.35,0,2.61
Q8TDN7,100,264,0,0,54.55
Q5QJU3,100,275,0,0,52.36
Q9NUN7,100,267,0,0,56.93
P22303,5.05,614,5.54,0,0
P12821,7.89,1306,1.91,0,1.61
Q9GZZ6,16,450,5.11,0,18.67
Q15822,27.22,529,5.48,0,16.07
P32297,23.17,505,0.99,0,17.03
P43681,43.54,627,25.52,0,13.56
P30532,18.38,468,2.14,0,18.16
Q15825,21.86,494,1.01,0,17.21
P36544,23.31,502,1.59,0,17.33
Q9UGM1,21.09,479,1.25,0,17.75
P02708,19.92,482,0,0,17.22
P17787,23.71,502,1,0,17.13
Q05901,16.38,458,0,0,18.34
P30926,22.69,498,2.21,0,16.87
P11230,22.16,501,4.19,0,16.97
Q07001,24.95,517,8.32,0,17.02
Q04844,21.5,493,3.04,0,18.26
P07510,25.15,517,0.58,0,16.83
Q9UKV3,90.9,1341,90.31,47.2,0
Q07912,60.4,1038,45.47,36.8,0
Q16570,12.2,336,0,0,44.64
O00590,23.18,384,5.47,0,38.54
P25106,11.33,362,0,0,41.16
Q9NPB9,9.43,350,1.14,0,42
Q5JWF8,0.82,245,0,0,0
O96019,9.56,429,4.43,0,0
O94805,9.15,426,6.1,0,0
Q9Y615,0.92,435,22.99,0,0
Q9Y614,11.81,415,10.6,0,0
P53396,2.82,1101,7.36,0,0
P11229,22.17,460,24.13,0,33.26
P08172,0,466,33.48,0,32.83
P20309,49.66,590,13.22,0,26.1
P08173,32.36,479,22.34,0,31.94
P08912,47.56,532,20.86,0,28.95
Q8TDX5,0,336,0.6,0,0
Q9NRP4,100,125,24.8,0,0
Q8WXI4,9.56,607,7.41,0,0
Q8WYK0,1.8,555,2.16,0,0
Q9NPJ3,0,140,2.14,0,0
Q8N1Q8,13.77,247,0.4,0,0
P21399,0.11,889,0.9,0,0
O00767,100,359,0.28,0,22.56
Q99798,3.72,780,11.15,0,0
Q86TX2,3.09,421,0.95,0,0
P49753,9.32,483,1.45,0,0
Q8N9L9,0,421,0.24,0,0
Q3I5F7,3.86,207,0.48,0,0
O14734,12.54,319,10.03,0,0
Q9Y305,20.05,439,6.83,0,0
Q15067,3.03,660,4.39,0,0
Q99424,6.9,681,0.73,0,0
O15254,5,700,0.14,0.57,0
Q9NUZ1,4.02,547,0.73,0,0
P13798,6.69,732,5.05,0,0
Q8TE99,17.71,480,3.33,0,0
O14561,41.67,156,0,0,0
Q8NEB7,100,543,33.33,0,0
Q96QF7,100,691,70.77,45.44,0
P10323,35.87,421,27.79,0,0
Q08AH3,5.37,577,2.08,0,0
Q68CK6,6.93,577,2.6,0,0
Q9NUB1,7.69,689,4.5,1.31,0
Q9NR19,9.99,701,6.99,0,0
Q96CM8,15.61,615,1.79,0,0
Q4G176,12.5,576,3.82,0,0
Q4L235,13.48,1098,0.36,0,0
P33121,24.07,698,1.58,0,3.01
O95573,24.72,720,2.78,0,2.92
O60488,25.88,711,4.36,0,2.95
Q9ULC5,22.55,683,0.73,0,3.07
Q9UKU0,24.25,697,1.58,0,3.01
Q08AH1,6.76,577,3.99,0,0
Q53FZ2,9.04,586,2.73,0,0
P0C7M7,7.59,580,0.34,0,0
Q6NUN0,7.43,579,4.66,0,0
Q6P461,0.21,480,0,0,0
Q9H6R3,10.93,686,4.52,0,0
P62736,1.06,377,3.45,0,0
Q562R1,0.53,376,1.33,0,0
Q9BYX7,1.07,375,8.27,0,0
P60709,0.27,375,3.2,0,0
P68032,1.33,377,3.71,0,0
P63261,1.07,375,2.93,0,0
Q01718,12.46,297,0,0,53.2
P63267,0.8,376,3.19,0,0
Q9H568,1.91,366,3.55,0,0
Q8TC94,12.02,416,13.94,0,0
P12814,1.68,892,6.73,0,0
P35609,2.46,894,2.57,0,0
Q08043,2.77,901,1.89,0,0
O43707,5.27,911,8.89,0.88,0
P68133,0.53,377,3.71,0,0
Q8TDG2,1.86,376,0.53,0,0
Q8TDY3,1.33,377,4.24,0,0
Q9BYD9,1.08,372,0,0,0
P42025,2.13,376,1.6,0,0
P61163,2.66,376,1.06,0,0
P36896,18.61,505,0,0,4.55
Q8NER5,18.66,493,0,0,4.26
P37023,15.51,503,3.18,0,4.57
Q04771,18.27,509,0.59,0,4.52
Q03154,3.92,408,3.92,0,0
P45381,0,313,0,0,0
Q96HD9,4.7,319,10.03,0,0
P07311,0,99,12.12,0,0
P14621,2.02,99,16.16,0,0
O14672,41.18,748,12.17,15.91,2.81
O75078,37.19,769,14.82,18.86,2.73
O43184,46.64,909,16.06,14.96,2.31
Q13444,44.15,863,20.05,17.15,2.43
P78536,47.57,824,14.81,5.22,2.55
Q9Y3Q7,35.45,739,0,19.35,2.84
Q9H013,49.63,955,29.84,15.92,2.2
P35348,34.55,466,1.29,0,35.84
P35368,38.46,520,18.85,2.12,32.31
P25100,45.8,572,23.43,1.22,30.42
O43506,35.4,726,2.07,19.42,2.89
Q9UKJ8,35.32,722,0.28,20.08,2.91
Q9P0K1,44.37,906,16.56,16.23,2.32
O75077,42.07,832,12.26,2.76,2.52
Q9UKQ2,36.39,775,12.65,17.42,2.71
Q9UKF5,42.93,820,14.39,18.05,2.56
P08913,29.56,450,31.78,0,35.56
P18089,29.08,447,23.94,3.36,34.68
P18825,31.39,462,21.86,3.25,36.8
Q9UKF2,39.49,790,9.11,18.61,2.66
Q8TC27,39.77,787,9.4,2.92,2.67
Q9BZ11,40.59,813,12.42,17.96,2.58
Q96M93,25.35,576,3.47,0,0
Q8NCV1,28.99,583,24.19,0,0
Q6DHV7,6.2,355,4.23,0,0
Q99965,35.37,735,2.18,17.69,2.86
Q6NVV9,47.09,412,3.16,0,0
Q9H2U9,37.27,754,2.52,23.87,2.79
P78325,45.15,824,19.3,0,2.55
Q13443,42.12,819,10.74,16.61,2.56
O75689,0,374,0.53,0,0
Q9NPF8,3.15,381,3.67,0,0
A8MUL3,100,147,23.81,0,0
O00116,15.65,658,14.29,1.06,0
Q9BUB4,29.48,502,15.14,0,0
Q7Z6V5,8.38,191,16.75,0,0
Q96EY9,58.4,351,24.79,0,0
P00813,0,363,1.93,0,0
Q86TW2,51.51,530,0.19,0,0
Q7Z695,58.79,626,0.32,0,3.35
Q8NI60,66,647,18.39,0,0
Q96D53,60.11,544,15.07,0,3.12
Q3MIX3,58.97,580,0.34,0,3.1
Q6P093,18.2,401,0.25,0,0
Q5VUY0,20.86,350,0,0,0
Q5VUY2,19.16,407,0,0,5.16
Q08828,56.75,1119,5.27,0,22.43
Q08462,55.64,1091,4.58,0,23.37
O60266,57.95,1144,8.92,0,22.03
Q8NFM4,54.97,1077,4.36,0,23.86
O95622,61.78,1261,18.95,0,19.98
O43306,58.82,1168,6.59,0,17.55
P51828,55.37,1080,8.24,0,23.98
P40145,61.31,1251,11.83,0,20.14
O60503,67.92,1353,13.53,0,18.33
Q96PN6,17.45,1610,0.37,0,0
Q96A70,10.43,460,1.52,0,0
P35611,67.03,737,50.75,0,0
P35612,66.53,726,48.9,0,0
Q9UEY8,65.58,706,44.76,0,0
O15204,44.89,470,13.83,0,0
Q8N7X0,89.02,1667,28.37,0,0
P07327,0.27,375,0,0,0
P00325,0.27,375,0,0,0
P00326,0,375,0,0,0
P08319,0,380,0,0,0
P28332,0.82,368,0,0,0
P40394,3.37,386,0,0,0
P11766,0,374,0,0,0
Q0VDE8,100,80,0,0,26.25
Q15848,41.8,244,32.79,0,0
Q9Y2D8,100,614,19.06,0,0
Q15847,100,76,64.47,0,0
P55263,5.52,362,4.42,0,0
Q7Z4H4,70.27,148,66.22,0,0
C9JUS6,100,153,11.11,0,0
P35318,61.08,185,48.65,0,0
Q6IQ32,83.02,1131,27.41,14.15,0
Q9H2P0,83.58,1102,42.56,0,0
Q9BRR6,18.91,497,0.6,0,0
Q9NRN7,2.27,309,4.85,0,0
P54922,0,357,2.24,0,0
Q3LIE5,3.22,342,4.68,0,0
Q96A54,100,375,14.13,0,39.2
Q86V24,100,386,19.43,0,38.08
P08588,23.9,477,15.93,0,37.95
P07550,10.41,413,3.39,0,40.44
P13945,0,408,0.49,0,38.24
Q16186,0,407,51.35,30.22,0
P22570,6.72,491,9.57,0,0
Q9Y6U3,0.56,715,9.65,0,0
P12235,2.01,298,0,0,61.74
P05141,2.01,298,0,0,61.74
P12236,2.01,298,0,0,61.74
Q9H0C2,7.94,315,1.27,0,40
Q96IZ2,100,230,0.43,0,54.78
Q6P4F2,37.7,183,36.61,0,0
P10109,13.04,184,11.41,0,0
Q8IUX7,48.96,1158,49.05,29.19,0
Q6ZN18,76.21,517,59.57,43.13,0
Q96SZ5,41.11,270,32.59,0,0
Q6UXC1,60.12,1216,18.09,0,1.73
Q8WTP8,44.62,325,41.54,0,0
Q08117,43.65,197,20.3,83.76,0
P55197,89.04,1068,67.23,1.12,0
P55198,89.3,1093,62.12,14.09,0
Q8TED9,62.11,768,34.11,0.65,0
Q8N4X5,62.35,818,49.63,0,0
Q13015,100,90,13.33,0,0
P42568,56.51,568,65.14,10.39,0
P55196,48.68,1824,56.52,5.59,0
P43652,1.17,599,0.67,0,0
Q8N556,57.81,730,46.44,6.44,0
P51825,91.4,1210,82.07,2.23,0
P51816,92.07,1311,64.45,0,0
P51826,91.68,1226,77.16,2.77,0
Q9UHB7,89.6,1163,82.03,36.46,0
Q9Y4W6,31.49,797,11.92,0,5.27
Q6ULP2,100,937,49.52,0,0
Q5BKT4,100,473,0,0,53.28
Q5I7T1,100,473,0,0,53.28
C9J202,35.35,215,9.3,0,0
Q5T2P9,48.63,658,32.98,0,0
Q8TF27,36,550,15.82,0,0
P06280,7.23,429,0.7,0,0
Q9UPQ3,43.76,857,33.26,0,0
Q99490,40.02,1192,54.87,0,0
Q96P47,38.86,875,30.51,0,0
Q96P64,44.19,663,27.15,0,0
A6NIR3,45.34,686,34.55,0,0
Q5VW22,44.04,663,30.32,0,0
Q5VUJ5,45.85,663,29.56,0,0
Q5SRD3,44.04,663,28.05,0,0
Q5VTM2,47.51,703,27.17,0,0
P52594,69.04,562,37.19,0,0
O95081,72.77,481,62.58,12.68,0
Q8N302,84.87,714,67.23,0.56,0
Q9H0P7,100,198,12.12,0,0
Q53H12,33.41,422,8.53,0,0
O95394,1.85,542,6.09,0,0
Q9UL18,0,857,4.32,0,0
Q9UKV8,0,859,8.73,0,0
Q9H9G7,2.33,860,5.35,0,0
Q9HCK5,3.14,861,10.57,0,0
O95994,21.14,175,9.71,0,0
Q8TD06,13.86,166,0,0,0
O00468,17.37,2067,15.38,9.87,0
O00253,65.15,132,3.79,0,0
Q9BXM8,100,129,NA,0,0
Q9BYV1,17.32,514,0.39,0,0
P30556,0,359,0,0,43.18
P50052,18.18,363,0,0,43.25
Q5TGY3,100,1603,72.8,36.81,0
Q8N157,59.62,1196,36.2,0.5,0
Q8IVF2,98.34,5795,73.25,0,0
Q09666,99.66,5890,74.06,3.34,0
A9YTQ3,57.49,701,48.07,0,0
P35869,56.96,848,23.35,4.83,0
O95433,19.82,338,16.86,0,0
Q719I0,22.07,299,6.69,0,0
Q9NZD4,0,102,19.61,0,0
Q9GZX7,9.09,198,0,0,0
Q96BJ3,12.42,306,16.34,0,0
Q9BQI0,0,150,14,0,0
P55008,0.68,147,21.09,0,0
O95831,12.23,613,14.36,0,0
Q9BRQ8,8.04,373,0.8,0,5.63
Q96NN9,15.21,605,7.6,0,0
Q9NVV5,100,245,0,0,51.43
Q8N1P7,13.31,616,6.17,0,0
Q9Y4K1,60.42,1723,50.49,0,0
O14862,10.5,343,9.33,1.17,0
Q12904,46.79,312,27.24,0,0
Q13155,33.44,320,7.19,0,0
Q16352,40.88,499,18.84,1.2,0
Q9NZN9,12.76,384,23.7,0,0
O00170,0.3,330,4.55,0,0
O43918,61.28,545,51.38,0,0
Q9UKB5,100,411,56.45,15.33,5.11
Q96IF1,64.5,538,49.07,0,0
Q02040,100,695,48.06,15.68,0
P14550,0.31,325,2.15,0,0
O60218,0,316,2.85,0,0
C9JRZ8,7.56,344,6.69,0,0
Q04828,0,323,0,0,0
P52895,0,323,0,0,0
P42330,0,323,1.24,0,0
P17516,0,323,0,0,0
P51857,0,326,0,0,0
O43572,51.81,662,30.51,0,0
Q9UKA4,94.42,1901,25.99,7.42,0
Q02952,100,1782,95.23,0.22,0
Q86UN6,100,197,15.23,0,0
O43687,62.5,104,65.38,0,0
Q9P0M2,33.62,348,23.28,0,0
Q92667,62.46,903,42.86,0,0
Q9Y2D5,100,859,92.55,0,0
O75969,89.68,853,36.81,0,0
Q5JQC9,89.46,854,26.46,0,0
P24588,92.27,427,78.22,0,0
Q13023,82.97,2319,44.76,6.12,0
O43823,100,692,65.03,1.73,0
Q99996,100,3911,25.65,43.77,0
Q5T2L2,9.3,129,0,0,0
Q96JD6,7.19,320,0,0,0
Q495B1,27.01,522,3.64,0,0
A6NHY2,38.07,528,5.68,0,0
Q9P2G1,40.96,1089,36.55,0,0
Q9NQ31,100,210,35.71,0,0
Q9NWT8,100,199,20.1,0,0
Q9H9L7,100,192,54.17,28.12,0
Q53H80,100,203,25.12,14.29,0
Q7Z591,100,1439,89.85,0,0
Q5T1N1,100,836,57.89,0,0
Q12802,85.67,2813,60.68,0.75,0
Q9ULX6,100,646,50.93,4.33,0
P31749,0,480,16.04,0,0
P31751,6.44,481,8.32,0,0
Q9Y243,8.98,479,13.78,0,0
Q9H8T0,38.01,292,25,0,0
Q96B36,100,256,91.02,11.33,0
Q8N8R7,100,260,15.77,11.15,0
P00352,2,501,1.6,0,0
O94788,3.67,518,4.63,0,0
P47895,3.91,512,9.18,0,0
P30837,4.64,517,2.51,0,0
O75891,0,902,3.99,0,0
Q3SY69,9.97,923,4.55,0,0
Q60I27,25.29,953,5.56,0,0
Q53TS8,100,623,46.87,0,0
Q96Q35,100,445,23.15,0,0
P30838,0,453,5.08,0,0
P51648,8.45,485,0,0,3.51
P43353,4.7,468,0.85,0,0
P48448,8.31,385,0.26,0,0
P30038,3.02,563,3.2,0,0
P20292,0,161,0.62,0,50.93
P49419,7.61,539,3.15,0,0
Q9H2A2,3.08,487,0.62,0,0
P49189,0.2,494,1.42,0,0
P24298,4.64,496,2.82,0,0
Q8TD30,8.03,523,6.31,0,0
P02768,0,609,0.33,0,0
P05091,3.29,517,3.48,0,0
P04075,0.27,364,4.67,0,0
P05062,0.27,364,3.02,0,0
P09972,0,364,4.4,0,0
P15121,0,316,2.53,0,0
P84996,100,626,82.43,38.18,0
Q2TAA5,21.75,492,0,0,8.54
Q9BV10,100,488,0.2,0,51.64
Q9NP73,67.46,1137,33.33,7.39,0
Q96F25,34.26,216,0,0,9.72
Q6GMV1,19.79,187,0,0,0
Q9BT22,17.67,464,2.8,0,4.53
Q9H553,3.61,416,1.92,0,5.05
Q92685,100,438,0.68,0,52.74
Q9Y673,37.04,324,0,0,6.48
Q9Y672,100,507,0,0,45.56
Q9BVK2,100,526,0,0,44.11
Q9H6U8,100,611,4.91,0,27.5
Q13686,39.59,389,6.68,0,0
Q6NS38,21.07,261,19.54,0,0
